name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Céline Boyer,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la mission d'accompagnement de la transformation,O-0225,O-022,
Antoine de Galzain,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur du développement social,O-0241,O-024,
Anne-Françoise Lyasse,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice du développement RH,O-0242,O-024,
Jean-François Maison,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire général des rédactions,O-0243,O-024,
Catherine Auguin,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directice de l'administration, de la paie, et du SIRH",O-0244,O-024,
Sophie Coudreuse,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice responsable de l'égalité des chances,O-0245,O-024,
Céline Fulgence,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la formation,O-0246,O-024,
Laurence Bloch,../static/France_Inter.png,France Inter,,,,,Directrice de France Inter,O-31,O-03,
Jean-Philippe Baille,../static/info.png,franceinfo,,,long_logo,,Directeur de franceinfo,O-32,O-03,
Jean-Emmanuel Casalta,../static/France_Bleu.png,France Bleu,,,,,Directeur de France Bleu,O-33,O-03,
Sandrine Treiner,../static/France_Culture.png,France Culture,,,,,Directrice de France Culture,O-34,O-03,
Marc Voinchet,../static/France_Musique.png,France Musique,,,,,Directeur de France Musique,O-35,O-03,
Ruddy Aboab,../static/FIP.png,France Inter,,,,,Directeur de FIP,O-36,O-03,
Mathieu Marmouget,../static/mouv.png,Mouv',,,mouv,,Directeur de Mouv',O-37,O-03,
Didier Varrod,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,,Directeur musical des antennes,O-38,O-03,
Éric Valmir,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Secrétaire général de l'information,O-0261,O-026,
Nathalie Iannetta,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directrice des sports,O-0262,O-026,
Jacques Monin,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directeur de l'investigation,O-0263,O-026,
Jean-Marc Four,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directeur de l'information internationale,O-0264,O-026,
Fabienne Bureau,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directrice des personnels de production,O-0271,O-027,
Muriel Sangouard,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directrice de la production et des antennes,O-0272,O-027,
Julien Pauchet,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directeur de la documentation,O-0273,O-027,
Directions numériques,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,,Directions numériques,O-0274,O-027,
Cristian Măcelaru,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directeur musical de l'Orchestre National de France,O-0291,O-029,
Mikko Franck,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directeur musical de l'Orchestre Philharmonique de Radio France,O-0292,O-029,
Martina Batič,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Cheffe invitée principale du Chœur de Radio France,O-0293,O-029,
Sofi Jeannin,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directrice musicale de la Maîtrise de Radio France,O-0294,O-029,
Pierre Charvet,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directeur de la création musicale,O-0295,O-029,
Denis Bretin,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Secrétaire général,O-0296,O-029,
Catherine Nicolle,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directrice de la planification de la production,O-0297,O-029,
Marina Sichantho,../static/RF_Bleu_RVB.png,Musique,,,long_logo,,Directrice du développement culturel,O-0298,O-029,
